ID,Статистическое время,Средняя скорость ветра(m/s),Нормализованная активная мощность,Средняя температура окружающей среды(°C)
1,2023-03-11 0:00:00,6.73,0.39,15.38
2,2023-03-11 0:10:00,6.75,0.39,15.26
3,2023-03-11 0:20:00,6.87,0.41,15.29
4,2023-03-11 0:30:00,7.29,0.48,15.09
5,2023-03-11 0:40:00,7.25,0.45,15.19
6,2023-03-11 0:50:00,6.24,0.33,14.64
7,2023-03-11 1:00:00,6.06,0.29,14.47
8,2023-03-11 1:10:00,6.26,0.3,14.09
9,2023-03-11 1:20:00,5.8,0.25,14.29
10,2023-03-11 1:30:00,6.06,0.26,14.41
11,2023-03-11 1:40:00,6.56,0.36,14.16
12,2023-03-11 1:50:00,6.35,0.35,13.67
13,2023-03-11 2:00:00,6.35,0.33,14.06
14,2023-03-11 2:10:00,6.29,0.37,13.69
15,2023-03-11 2:20:00,6.33,0.39,13.81
16,2023-03-11 2:30:00,7.14,0.47,13.38
17,2023-03-11 2:40:00,8.18,0.54,12.96
18,2023-03-11 2:50:00,7.91,0.51,13.11
19,2023-03-11 3:00:00,8.18,0.53,13.11
20,2023-03-11 3:10:00,7.31,0.46,13.25
21,2023-03-11 3:20:00,7.8,0.51,12.76
22,2023-03-11 3:30:00,8.85,0.67,12.52
23,2023-03-11 3:40:00,10.2,0.85,12.16
24,2023-03-11 3:50:00,10.83,0.9,12.04
25,2023-03-11 4:00:00,11.52,0.97,11.57
26,2023-03-11 4:10:00,11.53,0.97,11.74
27,2023-03-11 4:20:00,11.31,0.97,11.27
28,2023-03-11 4:30:00,12.02,0.99,11.49
29,2023-03-11 4:40:00,12.17,0.99,11.79
30,2023-03-11 4:50:00,11.79,0.96,11.6
31,2023-03-11 5:00:00,11.76,0.95,11.09
32,2023-03-11 5:10:00,11.84,0.99,11.23
33,2023-03-11 5:20:00,12.58,0.99,11.91
34,2023-03-11 5:30:00,11.75,0.98,11.83
35,2023-03-11 5:40:00,12.28,0.98,12.7
36,2023-03-11 5:50:00,12.4,0.99,13.75
37,2023-03-11 6:00:00,12.23,0.98,14.31
38,2023-03-11 6:10:00,11.67,0.95,14.33
39,2023-03-11 6:20:00,11.39,0.93,14.47
40,2023-03-11 6:30:00,10.65,0.85,14.02
41,2023-03-11 6:40:00,9.97,0.78,13.98
42,2023-03-11 6:50:00,10.74,0.83,13.42
43,2023-03-11 7:00:00,10.81,0.87,14.03
44,2023-03-11 7:10:00,11.52,0.94,13.03
45,2023-03-11 7:20:00,10.96,0.92,12.24
46,2023-03-11 7:30:00,11.19,0.99,11.06
47,2023-03-11 7:40:00,11.68,0.99,8.81
48,2023-03-11 7:50:00,11.99,0.99,10.07
49,2023-03-11 8:00:00,11.73,0.97,10
50,2023-03-11 8:10:00,10.68,0.95,9.32
51,2023-03-11 8:20:00,8.54,0.77,9.1
52,2023-03-11 8:30:00,7.78,0.63,9.5
53,2023-03-11 8:40:00,7.04,0.48,9.97
54,2023-03-11 8:50:00,7.95,0.6,10.58
55,2023-03-11 9:00:00,9.11,0.75,11.53
56,2023-03-11 9:10:00,12.27,0.99,12.91
57,2023-03-11 9:20:00,11.93,0.99,14.04
58,2023-03-11 9:30:00,10.67,0.98,15.02
59,2023-03-11 9:40:00,12.58,0.99,15.95
60,2023-03-11 9:50:00,12.94,0.99,16.42
61,2023-03-11 10:00:00,13.44,0.99,16.79
62,2023-03-11 10:10:00,13.67,0.99,17.05
63,2023-03-11 10:20:00,13.99,0.99,17.12
64,2023-03-11 10:30:00,13.93,0.99,17.33
65,2023-03-11 10:40:00,13.89,0.99,17.56
66,2023-03-11 10:50:00,13,0.99,18.07
67,2023-03-11 11:00:00,13.5,0.98,18.59
68,2023-03-11 11:10:00,13.27,0.99,18.5
69,2023-03-11 11:20:00,13.07,0.99,18.05
70,2023-03-11 11:30:00,13.32,0.99,17.84
71,2023-03-11 11:40:00,12.84,0.99,17.97
72,2023-03-11 11:50:00,13.79,0.99,18.08
73,2023-03-11 12:00:00,13.18,0.99,18.35
74,2023-03-11 12:10:00,13.07,0.99,18.61
75,2023-03-11 12:20:00,13.63,0.98,18.65
76,2023-03-11 12:30:00,14.39,0.99,18.9
77,2023-03-11 12:40:00,14.63,0.99,19.15
78,2023-03-11 12:50:00,14.28,0.99,19.47
79,2023-03-11 13:00:00,14.69,0.99,19.86
80,2023-03-11 13:10:00,14.46,0.99,20.23
